"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"2018.10";"Přerost Vlastimil";"ANO 2011";8;55;0;"ANO";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Bartůněk Jiří";"ANO 2011";9;55;0;"ANO";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Fábiková Anna";"Prameny šťastné a veselé";1;24;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Třešňáková Kateřina";"Prameny šťastné a veselé";2;28;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Pavlová Ivana";"Prameny šťastné a veselé";3;24;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Pavel Martin";"Prameny šťastné a veselé";4;24;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Strejcová Monika";"Prameny šťastné a veselé";5;25;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Šmídová Marta";"Prameny šťastné a veselé";6;28;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Fábik Jiří";"Prameny šťastné a veselé";7;24;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Pavel Jiří";"Prameny šťastné a veselé";8;26;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Lebl Jan";"Prameny šťastné a veselé";9;24;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2022";"Málková Michala";"ANO 2011";1;60;1;"ANO";"ANO";1;0;0;1;95;85
"2022";"Dolanský Petr";"ANO 2011";2;60;1;"ANO";"BEZPP";0;1;0;1;NA;NA
"2022";"Šatrová Lenka";"ANO 2011";3;60;1;"ANO";"BEZPP";0;0;0;1;NA;NA
"2022";"Pagáč Josef";"ANO 2011";4;59;1;"ANO";"BEZPP";0;0;0;1;NA;NA
"2022";"Poslušný Ladislav";"ANO 2011";5;60;1;"ANO";"BEZPP";0;0;0;1;NA;NA
"2022";"Rosenbergová Vanda";"ANO 2011";6;57;1;"ANO";"BEZPP";0;0;0;1;NA;NA
"2022";"Šatrová Iveta";"ANO 2011";7;56;0;"ANO";"BEZPP";0;0;0;0;NA;NA
"2022";"Bartůněk Jiří";"ANO 2011";8;57;0;"ANO";"BEZPP";0;0;0;0;NA;NA
"2022";"Přerost Vlastimil";"ANO 2011";9;56;0;"ANO";"BEZPP";0;0;0;0;NA;NA
"2022";"Čeček Marek";"Prameny šťastné a veselé";1;26;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2022";"Pavel Martin";"Prameny šťastné a veselé";2;25;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2022";"Fábiková Anna";"Prameny šťastné a veselé";3;28;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2022";"Wohlrab Göran";"Prameny šťastné a veselé";4;25;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2022";"Lebl Jan";"Prameny šťastné a veselé";5;27;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2022";"Třešňáková Kateřina";"Prameny šťastné a veselé";6;26;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2022";"Strejcová Monika";"Prameny šťastné a veselé";7;28;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2022";"Janošťáková Jaromíra";"Prameny šťastné a veselé";8;28;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2022";"Pavel Jiří";"Prameny šťastné a veselé";9;25;0;"NK";"BEZPP";0;0;0;0;NA;NA
